date,county,fips,place,confirmed_cases,note,x,y,population,UPDATED_ON
1/10/2021 0:00:00,Pasadena,,91103: Pasadena,2840,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/9/2021 0:00:00,Pasadena,,91103: Pasadena,2840,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/8/2021 0:00:00,Pasadena,,91103: Pasadena,2800,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/7/2021 0:00:00,Pasadena,,91103: Pasadena,2722,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/6/2021 0:00:00,Pasadena,,91103: Pasadena,2670,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/5/2021 0:00:00,Pasadena,,91103: Pasadena,2578,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/4/2021 0:00:00,Pasadena,,91103: Pasadena,2498,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/3/2021 0:00:00,Pasadena,,91103: Pasadena,2436,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/2/2021 0:00:00,Pasadena,,91103: Pasadena,2410,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/31/2020 0:00:00,Pasadena,,91103: Pasadena,2383,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/30/2020 0:00:00,Pasadena,,91103: Pasadena,2315,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/29/2020 0:00:00,Pasadena,,91103: Pasadena,2276,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/28/2020 0:00:00,Pasadena,,91103: Pasadena,2256,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/27/2020 0:00:00,Pasadena,,91103: Pasadena,2223,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/26/2020 0:00:00,Pasadena,,91103: Pasadena,2195,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/24/2020 0:00:00,Pasadena,,91103: Pasadena,2113,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/23/2020 0:00:00,Pasadena,,91103: Pasadena,2113,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/22/2020 0:00:00,Pasadena,,91103: Pasadena,2088,,-118.164825,34.166847,28435,1/10/2021 18:19:43
